slug,name,logoPath,description,website,docs,x,github,discord,telegram,linkedin,supportEmail,starred,tag
arianee,Arianee,arianee.png,Provides cross-chain bridge services for Web3 developers and users.,https://www.arianee.org,https://docs.arianee.org/,,,,,,,FALSE,
arkham,Arkham,arkham.png,Provides analytics products and explorer services for Web3 developers and users.,https://intel.arkm.com/dashboards/explore,https://codex.arkm.com/,,,,,,,FALSE,
artemis,Artemis,artemis.png,Provides analytics products for Web3 developers and users.,https://app.artemis.xyz/dashboard,,,,,,,,FALSE,
ascoin,AScoin,ascoin.png,Provides wallet solutions for Web3 developers and users.,https://www.ascoin.pro/,,,,,,,,FALSE,
assemblyscript,AssemblyScript,assemblyscript.png,It offers a compiler and toolchain allowing developers to write high-performance code in a TypeScript-like language and compile it to WebAssembly,https://www.assemblyscript.org/introduction.html,,,,,,,,FALSE,
astar,Astar,astar.png,Provides faucet services and API infrastructure for Web3 developers and users.,https://astar.network,https://docs.astar.network,,,,,,,FALSE,
asterizm,Asterizm,asterizm.png,Provides cross-chain bridge services for Web3 developers and users.,https://asterizm.io/,https://docs.asterizm.io/,,,,,,,FALSE,
atomic,Atomic,atomic.png,Provides wallet solutions for Web3 developers and users.,https://atomicwallet.io,,,,,,,,FALSE,
automata,Automata,automata.png,Provides faucet services for Web3 developers and users.,,,,,,,,,FALSE,
avalabs,Ava Labs,avalabs.png,"It emphasizes developer tools, institutional adoption (e.g., tokenization, DeFi bridges), and multi-chain infrastructure, aligning with blockchain indexing and node services",https://developers.avacloud.io/introduction,,,,,,,,FALSE,
avalanche-builder-hub,Avalanche,avalanche-builder-hub.png,Provides faucet services for Web3 developers and users.,https://build.avax.network/console/primary-network/faucet,,,,,,,,FALSE,
avascan,Avascan,avascan.png,Provides explorer services for Web3 developers and users.,https://coston.testnet.flarescan.com/,,,,,,,,FALSE,
axelar,Axelar,axelar.png,Provides cross-chain bridge services for Web3 developers and users.,https://www.axelar.network/,https://docs.axelar.dev/,,,,,,,FALSE,
aztec,Aztec,aztec.png,"It provides SDK, documentation, testnet access and especially Noir, a Rust-like programming language for writing zero-knowledge smart contracts",https://docs.aztec.network/developers/docs/aztec-js,https://docs.aztec.network/developers/docs/aztec-js,,,,,,,FALSE,
backpack,Backpack,backpack.png,Provides wallet solutions for Web3 developers and users.,https://backpack.app/,,,,,,,,FALSE,
bakkenbaeck-bastion-digital,"Bakkenbaeck, Bastion Digital",bakkenbaeck-bastion-digital.png,Provides explorer services for Web3 developers and users.,https://tonscan.org/,,,,,,,,FALSE,
band-protocol,Band Protocol,band-protocol.png,Provides oracle services for Web3 developers and users.,,,,,,,,,FALSE,
banxa,Banxa,banxa.png,Provides fiat on/off-ramp services for Web3 developers and users.,https://banxa.com/,,,,,,,,FALSE,
base,Base,base.png,Provides wallet solutions for Web3 developers and users.,https://www.coinbase.com/wallet,,,,,,,,FALSE,
beaconcha-in,Beaconcha.in,beaconcha-in.png,Provides explorer services for Web3 developers and users.,,,,,,,,,FALSE,
beans-app,Beans App,beans-app.png,Provides wallet solutions for Web3 developers and users.,https://www.beansapp.com/,,,,,,,,FALSE,
beryx,Beryx,beryx.png,Provides explorer services and faucet services for Web3 developers and users.,https://beryx.io/faucet,,,,,,,,FALSE,
biconomy,Biconomy,biconomy.png,"Multichain relayer infrastructure offering gasless transactions, transaction batching and other features to simplify Web3 UX and onboarding",https://docs.biconomy.io/,https://docs.biconomy.io/,,,,,,,FALSE,
bifrost,Bifrost,bifrost.png,Provides wallet solutions for Web3 developers and users.,https://bifrostwallet.com/,,,,,,,,FALSE,
binance,Binance,binance.png,Provides wallet solutions for Web3 developers and users.,https://www.binance.com/en/binancewallet,,,,,,,,FALSE,
bitbond-token-tool,Bitbond Token Tool,bitbond-token-tool.png,"It is a web-based service for developers and businesses that provides a no-code platform to create, manage and distribute various blockchain tokens and NFTs across multiple EVM-compatible blockchains and other networks",https://tokentool.bitbond.com/pricing,https://docs.bitbond.com/asset-tokenization-suite,,,,,,,FALSE,
bitcoin-com,Bitcoin.com,bitcoin-com.png,Provides wallet solutions for Web3 developers and users.,https://wallet.bitcoin.com/,,,,,,,,FALSE,
bitget,Bitget,bitget.png,Provides wallet solutions for Web3 developers and users.,https://web3.bitget.com/,,,,,,,,FALSE,
bitgo,BitGo,bitgo.png,"Institutional-grade digital asset infrastructure company that provides secure custody, wallet, trading, staking and settlement services for cryptocurrencies",https://www.bitgo.com/,,,,,,,,FALSE,
bitpie,BitPie,bitpie.png,Provides wallet solutions for Web3 developers and users.,https://bitpie.com/,,,,,,,,FALSE,
bitquery,Bitquery,bitquery.png,Provides explorer services for Web3 developers and users.,https://explorer.bitquery.io/,,,,,,,,FALSE,
blaze,Blaze,blaze.png,Provides wallet solutions for Web3 developers and users.,https://blaze.money/,,,,,,,,FALSE,
blockbolt,Blockbolt,blockbolt.png,Provides faucet services for Web3 developers and users.,https://faucet.blockbolt.io/,,,,,,,,FALSE,
blockbucket,BlockBucket,blockbucket.png,It is a developer tool and Web3 decentralized application that helps project creators and developers airdrop ERC-20 project tokens to multiple Ethereum addresses simultaneously,https://blockbucket.io/,,,,,,,,FALSE,
blockchain-com,Blockchain.com,blockchain-com.png,Provides wallet solutions for Web3 developers and users.,https://www.blockchain.com/wallet,,,,,,,,FALSE,
blockchair,Blockchair,blockchair.png,Provides explorer services for Web3 developers and users.,,,,,,,,,FALSE,
blockdaemon,Blockdaemon,blockdaemon.png,"It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",https://app.blockdaemon.com/,https://docs.blockdaemon.com/docs/homepage-guides,,,,,,,FALSE,
blockexplorer-one,Blockexplorer.one,blockexplorer-one.png,Provides explorer services for Web3 developers and users.,https://blockexplorer.one/,,,,,,,,FALSE,
blocknative,Blocknative,blocknative.png,"It offers a suite of APIs, SDKs, and tools that help developers and traders monitor, manage, and optimize blockchain transactions by providing visibility into the mempool",https://blocknative.com/,https://docs.blocknative.com/ethernow/batch-decoder-api,,,,,,,FALSE,
blockpi,BlockPi,blockpi.png,Provides API infrastructure for Web3 developers and users.,https://blockpi.io/dedicated-node,https://docs.blockpi.io/pricing/pricing-and-rate-limit,,,,,,,FALSE,
blockscout,Blockscout,blockscout.png,Provides explorer services for Web3 developers and users.,,,,,,,,,FALSE,
blocksec-phalcon,Blocksec Phalcon,blocksec-phalcon.png,"It provides a suite of developer tools focused on real-time security monitoring, automated attack blocking, and deep transaction analysis for Web3 projects and decentralized finance protocols",https://phalcon.xyz/,,,,,,,,FALSE,
blockvision,BlockVision,blockvision.png,Provides API infrastructure for Web3 developers and users.,https://discord.com/invite/J6Vm2W8JRj,https://docs.blockvision.org/reference/welcome-to-blockvision,,,invite/J6Vm2W8JRj,,,,FALSE,
blockworks,Blockworks,blockworks.png,Provides analytics products for Web3 developers and users.,https://blockworks.com/analytics/chain-comparison,,,,,,,,FALSE,
blowfish,Blowfish,blowfish.png,Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,,,,,,,,,FALSE,
blueprint,Blueprint,blueprint.png,"The official development environment for writing, testing, and deploying smart contracts on TON. Similar to Hardhat but for the TVM",https://github.com/ton-org/blueprint,,,ton-org/blueprint,,,,,FALSE,
bonadocs,Bonadocs,bonadocs.png,"It provides a suite of developer tools designed to simplify smart contract integration, documentation, and collaboration for Web3 engineering teams",https://registry.bonadocs.com/,https://docs.bonadocs.com/,,,,,,,FALSE,
brand-extender,Brand Extender,brand-extender.png,"It enables the creation of fully on-chain derivative NFTs or sets of NFTs, leveraging existing NFT collections with open intellectual property (IP) rights",https://brandextender.io/,,,,,,,,FALSE,
brave,Brave,brave.png,Provides wallet solutions for Web3 developers and users.,https://brave.com/wallet/,,,,,,,,FALSE,
bravepay,BravePay,bravepay.png,Provides wallet solutions for Web3 developers and users.,https://www.bravepay.net/,,,,,,,,FALSE,
bridgewallet,BridgeWallet,bridgewallet.png,Provides wallet solutions for Web3 developers and users.,https://www.mtpelerin.com/bridge-wallet,,,,,,,,FALSE,
brownie,Brownie,brownie.png,"It provides developers with a robust set of tools to write, test, debug, and deploy smart contracts using the Python programming language instead of JavaScript/TypeScript, which is more common in Web3 development",,,,eth-brownie/brownie,,,,,FALSE,
bscscan,BscScan,bscscan.png,Provides analytics products and explorer services for Web3 developers and users.,https://bscscan.com/charts,https://docs.bscscan.com/,,,,,,,FALSE,
bubblemaps,Bubblemaps,bubblemaps.png,Provides analytics products for Web3 developers and users.,https://v2.bubblemaps.io/,,,,,,,,FALSE,
buildbear,BuildBear,buildbear.png,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",https://www.buildbear.io/pricing,https://www.buildbear.io/docs/docs,,,,,,,FALSE,
bybit,Bybit,bybit.png,Provides wallet solutions for Web3 developers and users.,https://www.bybit.com/en/help-center/topic-list/web-3,,,,,,,,FALSE,
c98wallet,C98wallet,c98wallet.png,Provides wallet solutions for Web3 developers and users.,https://coin98.com/,,,,,,,,FALSE,
cake,Cake,cake.png,Provides wallet solutions for Web3 developers and users.,https://cakewallet.com/,,,,,,,,FALSE,
cannon,Cannon,cannon.png,"It helps manage and streamline the deployment, upgrade and configuration of smart contracts and entire protocols across various networks",https://usecannon.com/,https://usecannon.com/learn/guides/get-started/setup,,,,,,,FALSE,
capstone-disassembler,Capstone Disassembler,capstone-disassembler.png,It provides the granular control and visibility needed to work directly with the low-level machine code that powers smart contracts on Ethereum and other EVM-compatible blockchains,,,,crytic/pyevmasm,,,,,FALSE,
celer,Celer,celer.png,Provides cross-chain bridge services for Web3 developers and users.,https://cbridge.celer.network,https://cbridge-docs.celer.network/,,,,,,,FALSE,
chain-love,Chain.Love,chain-love.png,Provides API infrastructure for Web3 developers and users.,https://chain-love.gitbook.io/chain-love-docs/blockchains,https://chain-love.gitbook.io/chain-love-docs/blockchains,,,,,,,FALSE,
chain-platform,Chain Platform,chain-platform.png,Provides faucet services for Web3 developers and users.,https://faucet.chainplatform.co/faucets/ethereum-sepolia/,,,,,,,,FALSE,
chainbase,Chainbase,chainbase.png,"It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",https://platform.chainbase.com/contact,https://docs.chainbase.com/platform/features/api/chain-rpc,,,,,,,FALSE,
chainide,ChainIDE,chainide.png,"It provides a cloud-based, multi-chain Integrated Development Environment that offers a comprehensive, all-in-one platform for developers to build, test, and deploy decentralized applications and smart contracts",https://chainide.com/,,,,,,,,FALSE,
chainjet,ChainJet,chainjet.png,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules",https://chainjet.io/pricing,,,,,,,,FALSE,
chainlink,Chainlink,chainlink.png,Blockchain interoperability protocol for transferring tokens and messages across chains,https://docs.chain.link/ccip,https://docs.chain.link/ccip,,,,,,,FALSE,
chainlist,Chainlist,chainlist.png,"It provides a comprehensive and verified list of network details for various Ethereum Virtual Machine compatible blockchains, which simplifies a crucial configuration step for Web3 developers and users.",https://chainlist.org/,https://sites.google.com/view/chainlistsafe/,,,,,,,FALSE,
chainnodes,Chainnodes,chainnodes.png,Provides API infrastructure for Web3 developers and users.,https://www.chainnodes.org,https://www.chainnodes.org/docs,,,,,,,FALSE,
chainport,ChainPort,chainport.png,Provides cross-chain bridge services for Web3 developers and users.,https://app.chainport.io/,https://docs.chainport.io/,,,,,,,FALSE,
chainsafe,ChainSafe,chainsafe.png,A javascript client library for building Zcash browser wallets,https://github.com/ChainSafe/WebZjs,,,ChainSafe/WebZjs,,,,,FALSE,
chainspot,Chainspot,chainspot.png,Provides cross-chain bridge services for Web3 developers and users.,https://app.chainspot.io/,https://docs.chainspot.io/,,,,,,,FALSE,
chainstack,Chainstack,chainstack.png,Provides API infrastructure and faucet services for Web3 developers and users.,https://faucet.chainstack.com/,https://docs.chainstack.com/docs/platform-introduction,,,,,,,FALSE,
chainup-cloud,Chainup Cloud,chainup-cloud.png,Provides API infrastructure for Web3 developers and users.,http://filecoin-calibration.chainup.net/rpc/v1,https://docs.chainupcloud.com/blockchain-api/filecoin/public-apis,,,,,,,FALSE,
chronicle-protocol,Chronicle Protocol,chronicle-protocol.png,Provides oracle services for Web3 developers and users.,,,,,,,,,FALSE,
cid-checker,CID Checker,cid-checker.png,Provides analytics products for Web3 developers and users.,https://filecoin.tools/,,,,,,,,FALSE,
cinko,CiNKO,cinko.png,Provides wallet solutions for Web3 developers and users.,https://cinko.io/,,,,,,,,FALSE,
circle,Circle,circle.png,Provides faucet services for Web3 developers and users.,https://faucet.circle.com/,,,,,,,,FALSE,
claimcrypto,ClaimCrypto,claimcrypto.png,Provides faucet services for Web3 developers and users.,https://claimcrypto.in/faucet/currency/zec,,,,,,,,FALSE,
clave,Clave,clave.png,Provides wallet solutions for Web3 developers and users.,https://www.getclave.com/,,,,,,,,FALSE,
clear-evm,Clear EVM,clear-evm.png,Provides wallet solutions for Web3 developers and users.,https://clear-wallet.flashsoft.eu/,https://clear-wallet.flashsoft.eu/,,,,,,,FALSE,
codeslaw,Codeslaw,codeslaw.png,"Developer tool and search engine that allows developers to search for and explore verified smart contract code across various blockchain networks, primarily Ethereum",https://www.codeslaw.app/,,,,,,,,FALSE,
coin-space,Coin Space,coin-space.png,Provides wallet solutions for Web3 developers and users.,https://coin.space/,,,,,,,,FALSE,
coinbase,Coinbase,coinbase.png,Toolkit enabling AI agents to interact with blockchain networks with secure wallet management and comprehensive onchain capabilities,https://docs.cdp.coinbase.com/agent-kit/welcome,https://docs.cdp.coinbase.com/paymaster/introduction/welcome,,,,,,,FALSE,
coindoog,CoinDoog,coindoog.png,Provides faucet services for Web3 developers and users.,https://coindoog.com/faucet/zec,,,,,,,,FALSE,
coinexams,CoinExams,coinexams.png,Provides analytics products for Web3 developers and users.,https://coinexams.com/utility/algorand,,,,,,,,FALSE,
coinflow,Coinflow,coinflow.png,"It provides a suite of tools that enable developers to seamlessly integrate comprehensive payment solutions into their applications: Accept diverse payments, Instant settlement, Risk and compliance management",https://coinflow.cash/,,,,,,,,FALSE,
coingate,CoinGate,coingate.png,"Cryptocurrency payment gateway. It enables accepting payments in Bitcoin, USDC and various other cryptocurrencies",https://coingate.com/,,,,,,,,FALSE,
coinglass,Coinglass,coinglass.png,Provides analytics products for Web3 developers and users.,https://www.coinglass.com/,,,,,,,,FALSE,
coinme,Coinme,coinme.png,Provides wallet solutions for Web3 developers and users.,https://coinme.com/,,,,,,,,FALSE,
coinomi,Coinomi,coinomi.png,Provides wallet solutions for Web3 developers and users.,https://www.coinomi.com/en/,,,,,,,,FALSE,
coinsdo,CoinsDo,coinsdo.png,"Provides a suite of developer tools, primarily a Wallet-as-a-Service solution, that allows developers and businesses to integrate secure, non-custodial digital asset management and transaction capabilities into their own applications",https://www.coinsdo.com/en,,,,,,,,FALSE,
cometh,Cometh,cometh.png,"It provides an API and SDK, smart contract development tools, and abstractions of complex backend infrastructure to help development teams focus on user experience",https://cometh.io/,,,,,,,,FALSE,
connectkit,ConnectKit,connectkit.png,React component library for Web3 frontend developers that simplifies the process of connecting a user's cryptocurrency wallet to a decentralized application,https://family.co/docs/connectkit,,,,,,,,FALSE,
connext,Connext,connext.png,Provides cross-chain bridge services for Web3 developers and users.,https://www.connext.network/,https://docs.connext.network/,,,,,,,FALSE,
cookbook-dev,Cookbook.dev,cookbook-dev.png,"It offers an open-source smart contract registry and an AI-powered ecosystem to help developers research, build and deploy smart contracts quickly and efficiently",https://www.cookbook.dev,,,,,,,,FALSE,
cookie3,Cookie3,cookie3.png,Provides analytics products for Web3 developers and users.,https://app.cookie3.co/,,,,,,,,FALSE,
coolwallet,Coolwallet,coolwallet.png,Provides wallet solutions for Web3 developers and users.,https://www.coolwallet.io/,,,,,,,,FALSE,
core-wallet,Ava Labs Core,core-wallet.png,"It is a non-custodial cryptocurrency wallet developed by Ava Labs, primarily designed for the Avalanche blockchain",https://core.app/,,,,,,,,FALSE,
covalent,Covalent,covalent.png,Provides API infrastructure for Web3 developers and users.,,,,,,,,,FALSE,
crazyrabbitltc,CrazyRabbitLTC,crazyrabbitltc.png,Builds MCP servers for blockchain data access including Ethereum tools via Etherscan APIs,https://github.com/crazyrabbitLTC/mcp-etherscan-server,https://github.com/crazyrabbitLTC/mcp-etherscan-server#readme,,crazyrabbitLTC/mcp-etherscan-server,,,,,FALSE,
crosscurve,CrossCurve,crosscurve.png,Provides cross-chain bridge services for Web3 developers and users.,https://app.crosscurve.fi/,https://docs.crosscurve.fi,,,,,,,FALSE,
crossmint,Crossmint,crossmint.png,"Platform enabling fiat on-ramp for NFTs, letting users mint NFTs with credit cards; supports Optimism for seamless onboarding of new users",https://www.crossmint.com/contact/sales,,,,,,,,FALSE,
crypto-apis,Crypto APIs,crypto-apis.png,It is a blockchain infrastructure provider offering unified REST APIs and tools for developers building crypto applications,https://cryptoapis.io/,https://developers.cryptoapis.io/v-2.2024-12-12-175/RESTapis/general-information/overview,,,,,,,FALSE,
crypto-com,Crypto.com,crypto-com.png,Provides wallet solutions for Web3 developers and users.,https://crypto.com/,,,,,,,,FALSE,
cryptoapis-io,CryptoAPIs,cryptoapis-io.png,Provides blockchain infrastructure APIs and MCP servers for AI agents across multiple networks,https://github.com/CryptoAPIs-io/cryptoapis-mcp-hub,https://github.com/CryptoAPIs-io/cryptoapis-mcp-hub#readme,,CryptoAPIs-io/cryptoapis-mcp-hub,,,,,FALSE,
cryptoquant,CryptoQuant,cryptoquant.png,Provides analytics products for Web3 developers and users.,https://cryptoquant.com/asset/eth,,,,,,,,FALSE,
cryptoslam,Cryptoslam,cryptoslam.png,Provides analytics products for Web3 developers and users.,https://www.cryptoslam.io/blockchains/algorand,,,,,,,,FALSE,
ctrl,Ctrl,ctrl.png,Provides wallet solutions for Web3 developers and users.,https://ctrl.xyz/,,,,,,,,FALSE,
curvegrid,Curvegrid,curvegrid.png,It provides developer tools and infrastructure-as-a-service to help businesses and developers build and deploy decentralized applications faster and more easily,https://www.curvegrid.com/,,,,,,,,FALSE,
cwallet,Cwallet,cwallet.png,Provides wallet solutions for Web3 developers and users.,https://cwallet.com/,,,,,,,,FALSE,
cypherock-x1,Cypherock X1,cypherock-x1.png,Provides wallet solutions for Web3 developers and users.,https://www.cypherock.com/,,,,,,,,FALSE,
cyvers,Cyvers,cyvers.png,"It is a Web3 security company that provides developers with tools and an AI-powered platform for real-time threat detection, prevention, and compliance in blockchain ecosystems",https://cyvers.ai/,,,,,,,,FALSE,
d-cent,D'CENT,d-cent.png,Provides wallet solutions for Web3 developers and users.,https://www.dcentwallet.com/,,,,,,,,FALSE,
daedalus-mainnet,Daedalus Mainnet,daedalus-mainnet.png,Provides wallet solutions for Web3 developers and users.,https://daedaluswallet.io/,,,,,,,,FALSE,
dapp-launchpad,Dapp Launchpad,dapp-launchpad.png,Boilerplate and toolkits for launching Polygon dApps fast,,,,0xPolygon/dapp-launchpad,,,,,FALSE,
dapp-pocket,Dapp Pocket,dapp-pocket.png,Provides wallet solutions for Web3 developers and users.,https://www.dapppocket.io/,,,,,,,,FALSE,
dappkit,Dappkit,dappkit.png,"It is a free, open-source Software Development Kit and platform that streamlines the creation and integration of web3 applications by providing pre-built tools, components, and code libraries",https://dappkit.dev/,,,,,,,,FALSE,
dappradar,DappRadar,dappradar.png,Provides analytics products for Web3 developers and users.,https://dappradar.com/,,,,,,,,FALSE,
dapprovals,dApprovals,dapprovals.png,Provides services for managing and securing Web3 transaction approvals,https://dapproval.com/,,,,,,,,FALSE,
datacurve,DataCurve,datacurve.png,Provides developer services for Web3 developers and users.,https://datacurve.io/,,,,,,,,FALSE,
db3-js,db3.js,db3-js.png,It provides a collection of JavaScript and TypeScript libraries for developers to connect and interact with Ethereum and other EVM-compatible blockchain nodes,https://docs.db3.network/,https://docs.db3.network/,,,,,,,FALSE,
debridge,deBridge,debridge.png,Provides cross-chain bridge services for Web3 developers and users.,https://app.debridge.com/,https://docs.debridge.com/,,,,,,,FALSE,
decubate-tms,Decubate TMS,decubate-tms.png,"It is a no-code, all-in-one platform that provides Web3 builders and projects with the necessary tools to launch, manage, and scale their tokens efficiently and securely",https://tms.finance/,,,,,,,,FALSE,
defi,DeFi,defi.png,Provides SDK tooling for Web3 developers and users.,,,,zeriontech/defi-sdk,,,,,FALSE,
defi-builder,DeFi Builder,defi-builder.png,"It provides a suite of AI-powered, no-code development tools that enable developers and non-technical users to generate, audit, and deploy various decentralized applications and smart contracts on multiple blockchain networks",https://app.defibuilder.com,,,,,,,,FALSE,
defillama,DeFiLlama,defillama.png,Provides analytics products for Web3 developers and users.,https://defillama.com/,,,,,,,,FALSE,
defiway-bridge,Defiway.Bridge,defiway-bridge.png,Provides cross-chain bridge services for Web3 developers and users.,https://defiway.com/bridge/,,,,,,,,FALSE,
defly,Defly,defly.png,Provides wallet solutions for Web3 developers and users.,https://defly.app/,,,,,,,,FALSE,
degen,Degen,degen.png,Provides wallet solutions for Web3 developers and users.,https://degenforest.com/,,,,,,,,FALSE,
dex-guru,Dex.Guru,dex-guru.png,Provides explorer services for Web3 developers and users.,,,,,,,,,FALSE,
dexscreener,DexScreener,dexscreener.png,Provides analytics products for Web3 developers and users.,https://dexscreener.com/,,,,,,,,FALSE,
dia,DIA,dia.png,Provides oracle services for Web3 developers and users.,,,,,,,,,FALSE,
dipdup,dipDup,dipdup.png,Provides API infrastructure for Web3 developers and users.,,,,,,,,,FALSE,
drpc,dRPC,drpc.png,Provides API infrastructure for Web3 developers and users.,https://drpc.org/,https://drpc.org/docs,,,,,,,FALSE,
